Object,Explanation
guacamole-ajnjvv,container+substance
pea-iblyep,
armchair-tnryza,not a proper object
bean-cdinsu,nothing there
bath_towel-lyqgnf,folded
bath_towel-iviyls,folded
bath_towel-feojdm,folded
cord-aqikou,
cord-tzurlz,
cord-ydrhwh,
dish_towel-emsowx,
dish_towel-rssewm,
dish_towel-ilguvl,
dish_towel-wyqhkc,
hand_towel-jaubic,folded
container_cranberry-fbcpsl,
necklace-wzmleo-0,
pot_plant-qcpges,we have other options and this looks very low quality and unrealistic
pot_plant-xlylfy,we have other options and this looks very low quality and unrealistic
rag-dgzewy,folded
rag-zmmbpz,folded
scarf-gqzivs,folded
scarf-xdcrfh,folded
wall_socket-eaxxbm,
kebab-cewhbv,not a proper object
mouse-ptwame,bad model
bush-dczbdo,wrong object?
bowl-gwhcty,has a sun glasses attached
ground_beaf-xwkdyt,should be a substance
black_beans-hvxebb,"contain more than 1 bean, also should probably be a substance"
cappuccino-fwgbin,container+substance
bowl_of_salad-ghrgbr,container+substance
caraway_seeds-keljtq,container+substance
casserole_dish-wvsrxn,container+substance
cat_food-tvsegu,container+substance
chocolate_spread-boxsqh,container+substance
chowder-vbabig,container+substance
cioppino-gnybxb,container+substance
clip-basfxk,not useful
cocktail-gzvkfo,container+substance
coffee-sglyer,container+substance
cup-nzdsmu,bad mesh
duster-uotkdf,? I don't see the object
frappuccino-zjmplr,? I don't see the object
gazpacho-hccyfe,container+substance
guacamole-wqoezc,container+substance
hot_chocolate-erlbrd,container+substance
hummus-isgnps,container+substance
ketchup-cehehi,container+substance
latte-tgugwi,container+substance
pizza_dough-tizedd,container+dough
manure-sihsvl,should be a substance
margarine-hsxamc,should be a substance
matcha-fljimz,container+substance
mayonnaise-nmiflt,container+substance
meatloaf-zrrfza,container+dough
miso-uhjiow,container+substance
mojito-ugdwvr,container+substance
mojito-uprgwf,container+substance
mustard_greens-luvkgy,not sure what this can be used for
nachos-mkkuoh,container+object
paper_towel-aclaus,holder + paper towel
pet_food-gnolvd,contain more than 1 piece of pet food (need to prune and keep only one)
plastic_wrap-twduge,not useful
cellophane-ximewe,"should be a thin layer, not a roll of plastic wrap"
parchment_paper-wtxyff,wrong model
patina-fubvpu,wrong model
plastic_wrap-twduge,wrong model
popcorn-ntnizn,container+object
refried_beans-yqulrg,container+object
schnitzel-coigev,wrong model
tomato_puree-xtyyki,bad mesh
zipper-doapdx,? I don't see the object
snow_pants-aijpfo,two pieces of different cloths folded together
trash-hfhsja,pile of trash consisting of many objects
trash-odsipp,pile of trash consisting of many objects
trash-sslaas,pile of trash consisting of many objects
trash-uwyjsa,pile of trash consisting of many objects
trash-wpopqw,pile of trash consisting of many objects
coffee_pouch-zmadza,container+substance
coffee_pouch-fovxcx,container+substance
duster-uotkdf-0,too many vertices
bay_leaves-bipnez,multiple leaves
shampoo-zoatjo,shit texture
jar-sktwfj,weird looking beans in jar
tube-yegktv,what is this object?
compost-xwqsqp,? I don't see the object
meatloaf-pjqnuf,container+substance
peanut-zzbrkz,bad object
soybean-mftpcc,not soybean
trail_mix-vsaout,many different pieces of nuts stuck together
acid-jpblpa-0,use generic bottles instead
acid-mjxjpa-0,use generic bottles instead
acid-ouylbd-0,use generic bottles instead
acid-oyhpnl-0,use generic bottles instead
acid-pnhvaj-0,use generic bottles instead
acid-wjehui-0,use generic bottles instead
applesauce-witdld-0,missing texture
blueberry_mousse-mcvcgl-0,container+substance
blanket-mibyxn-0,folded
blanket-senafq-0,folded
blanket-vzkmtf-0,folded
buttermilk-tdqppy-0,bad model
ash-tyowth-0,substance
dish_towel-emsowx-0,folded
dish_towel-ilguvl-0,folded
dish_towel-rssewm-0,folded
dish_towel-wyqhkc-0,folded
dishtowel-qvzbjx-0,folded
dishtowel-yobhae-0,folded
dryer-tpqzai-0,bad object
cymbal-zrabyc-0,bad texture
engagement_ring-acpgha-0,no texture
dutch_oven-kinatx-0,no texture
dutch_oven-fnvivr-0,no texture
jewelry-vbiegx-0,bad texture
sheet-czdhwu-0,folded
mulch-dsjkjk-0,substance
mulch-hsjzxd-0,substance
mulch-vizwhs-0,substance
mulch-zccicr-0,substance
necktie-trwaco-0,folded
duvet-cgvbka-0,folded
soda-phwegy-0,bad texture
shaker-nedagc-0,generic shaker
shaker-lpqocs-0,generic shaker
shaker-bfdprt-0,generic shaker
shaker-aherov-0,generic shaker
toolbox-gwtghv-0,bad texture
towel-ubhgex-0,folded
towel-pingqd-0,folded
towel-nihelo-0,folded
towel-gnowei-0,folded
towel-gfdper-0,folded
wallpaper-axujrp-0,"bad object, folded"
container_cranberry-fbcpsl-0,container+substance
poop-qvefdg,too poopy :))
haystack-lujosc,substance
cup-lfxtqa,container+substance
cup-vlikrk,container+substance
cup-wbqjbt,container+substance
cup-wfavfd,container+substance
diced__beef_roast-vrzhwc,no non-diced version
toy-ciutkv,scaled in a very weird way
toy-gbutve,scaled in a very weird way
toy-wqzqoy,a collection of objects
toy-ywtond,a collection of objects
sheet-ddayzw,folded
sheet-vhjpzt,folded
sheet-wbdatw,folded
