substance,synset,prune,hyperparam_source,hyperparams
acetone,acetone.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 784.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [1.0, 1.0, 1.0]}}"
acid,acid.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 1000.0, ""particle_contact_offset"": 0.015, ""is_viscous"": false, ""material_mtl_name"": ""OrangeJuice"", ""customize_material_kwargs"": {""specular_transmission_color"": [0, 1, 0], ""diffuse_reflection_color"": [0, 1, 0], ""specular_transmission_scattering_color"": [0, 1, 0]}}"
adhesive_material,adhesive_material.n.01,0,manual,"{""type"": ""macro_visual_particle"", ""relative_particle_scaling"": true}"
aioli,aioli.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 920.0, ""particle_contact_offset"": 0.015, ""is_viscous"": true, ""material_mtl_name"": ""MapleSyrup"", ""customize_material_kwargs"": {""specular_transmission_color"": [1, 1, 0.8], ""diffuse_reflection_color"": [1, 1, 0.8], ""specular_transmission_scattering_color"": [1, 1, 0.8]}}"
alga,alga.n.01,0,manual,"{""type"": ""macro_visual_particle"", ""relative_particle_scaling"": false}"
allspice,allspice.n.03,0,manual,"{""type"": ""granular"", ""particle_density"": 405.0}"
almond,almond.n.02,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 615.0}"
almond_oil,almond_oil.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 910.0, ""particle_contact_offset"": 0.015, ""is_viscous"": true, ""material_mtl_name"": ""MapleSyrup"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.93, 0.79, 0.55], ""diffuse_reflection_color"": [0.93, 0.79, 0.55], ""specular_transmission_scattering_color"": [0.93, 0.79, 0.55]}}"
ammonia_water,ammonia_water.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 880.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [1.0, 1.0, 1.0]}}"
analgesic,analgesic.n.01,1,gpt,"{""type"": ""macro_physical_particle"", ""particle_density"": 1000.0}"
antifreeze,antifreeze.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 1110.0, ""particle_contact_offset"": 0.015, ""is_viscous"": true, ""material_mtl_name"": ""MapleSyrup"", ""customize_material_kwargs"": {""specular_transmission_color"": [0, 1, 0], ""diffuse_reflection_color"": [0, 1, 0], ""specular_transmission_scattering_color"": [0, 1, 0]}}"
antifungal,antifungal.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 1000.0, ""particle_contact_offset"": 0.015, ""is_viscous"": false, ""material_mtl_name"": ""Honey"", ""customize_material_kwargs"": {""specular_transmission_color"": [0, 1, 0], ""diffuse_reflection_color"": [0, 1, 0], ""specular_transmission_scattering_color"": [0, 1, 0]}}"
antihistamine,antihistamine.n.01,1,gpt,"{""type"": ""macro_physical_particle"", ""particle_density"": 1300.0}"
apple_juice,apple_juice.n.01,1,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1330.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.92, 0.7, 0.29]}}"
applesauce,applesauce.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.017, ""particle_density"": 1077.0, ""is_viscous"": true, ""material_mtl_name"": ""Jade"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.07, ""specular_transmission_color"": [0.52, 0.39, 0.0], ""diffuse_reflection_color"": [0.71, 0.52, 0.13]}}"
arborio_rice,arborio_rice.n.01,1,gpt,"{""type"": ""granular"", ""particle_density"": 750.0}"
ash,ash.n.01,0,manual,"{""type"": ""granular"", ""particle_density"": 950.0}"
asphalt,asphalt.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 2300.0, ""particle_contact_offset"": 0.015, ""is_viscous"": true, ""material_mtl_name"": ""MapleSyrup"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.2, 0.2, 0.2], ""diffuse_reflection_color"": [0.2, 0.2, 0.2], ""specular_transmission_scattering_color"": [0.2, 0.2, 0.2]}}"
baby_oil,baby_oil.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 830.0, ""is_viscous"": true, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [1.0, 1.0, 1.0], ""specular_reflection_ior_preset"": 18}}"
baking_powder,baking_powder.n.01,0,manual,"{""type"": ""granular"", ""particle_density"": 1000.0}"
barbecue_sauce,barbecue_sauce.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.015, ""particle_density"": 1208.0, ""is_viscous"": true, ""material_mtl_name"": ""Jade"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.0, ""specular_transmission_color"": [0.33, 0.13, 0.03], ""diffuse_reflection_color"": [0.33, 0.13, 0.03]}}"
barley,barley.n.02,1,gpt,"{""type"": ""granular"", ""particle_density"": 600.0}"
beaten_egg,beaten_egg.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.02, ""particle_density"": 1027.0, ""is_viscous"": false, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [1.0, 0.92, 0.71], ""enable_diffuse_transmission"": false}}"
beef_broth,beef_broth.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1052.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.3, ""specular_transmission_color"": [0.32, 0.2, 0.01]}}"
beef_stew,beef_stew.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1220.0, ""is_viscous"": true, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.33, 0.1, 0.01], ""enable_diffuse_transmission"": false}}"
beer,beer.n.01,0,manual,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1000.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.24, 0.16, 0.04], ""specular_transmission_scattering_color"": [0.6, 0.32, 0.02]}}"
