activity_name,scene0,scene1,scene2,quality_checked,currently_assigned,alltime_assigned,upworker,mistakes,stats
adding chemicals to hot tub,hotel_gym_spa,Merom_0_garden,house_single_floor,1,0,1,Malik,0,12
adding chemicals to lawn,Beechwood_0_garden,Pomaria_0_garden,house_single_floor,1,0,1,Malik,0,#REF!
adding chemicals to pool,hotel_gym_spa,house_single_floor,Wainscott_1_int,1,0,1,Malik,0,1000
adding fabric softener,Beechwood_0_garden,house_double_floor_lower,Wainscott_1_int,1,0,1,Malik,0,
applying pesticides,Wainscott_0_garden,house_double_floor_lower,Merom_0_garden,1,0,1,Malik,0,
arranging home,Pomaria_0_int,Pomaria_2_int,Rs_int,1,1,1,Johanna,0,
assembling furniture,house_single_floor,Wainscott_0_garden,Wainscott_0_int,1,0,1,Johanna,0,
attach a camera to a tripod,house_double_floor_upper,house_single_floor,,1,0,1,Adriel,0,
bag groceries,grocery_store_cafe,grocery_store_asian,grocery_store_convenience,1,0,1,Adriel,0,
baking cookies for the PTA bake sale,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Elizabeth,0,
baking sugar cookies,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Elizabeth,0,
boil water,restaurant_brunch,house_double_floor_lower,Beechwood_0_garden,1,0,1,Kristin,0,
boil water in the microwave,Beechwood_0_int,Pomaria_1_int,Wainscott_0_garden,1,0,1,Kristin,0,
bottling wine,restaurant_asian,Benevolence_1_int,restaurant_urban,1,0,1,Kristin,0,
boxing food after dinner,restaurant_brunch,restaurant_urban,restaurant_asian,1,0,1,Adriel,0,
brewing coffee,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Elizabeth,0,
bringing glass to recycling,Ihlen_1_int,restaurant_cafeteria,restaurant_hotel,1,0,1,Adriel,0,
bringing in kindling,house_single_floor,,,1,0,1,Adriel,0,
bringing in mail,house_single_floor,house_double_floor_lower,Rs_int,1,0,1,Adriel,0,
bringing laundry,Merom_0_garden,house_single_floor,Beechwood_0_int,1,0,1,Elizabeth,0,
bringing newspaper in,hall_conference_large,Wainscott_1_int,Pomaria_1_int,1,0,1,Adriel,0,
bringing paper to recycling,house_single_floor,office_large,office_cubicles_right,1,0,1,Adriel,0,
bringing water,restaurant_diner,restaurant_hotel,office_large,1,0,1,Adriel,0,
buy a air conditioner,grocery_store_asian,,,1,1,1,Iqbal,0,
buy a belt,grocery_store_convenience,,,1,0,1,Adriel,0,
buy a good avocado,grocery_store_asian,grocery_store_cafe,grocery_store_convenience,1,0,1,Adriel,0,
