Name,Synset State,Custom?,Leaf?,Definition,Parents,Children,Tasks,Direct Categories,Direct Objects,Total Objects,Requiring Task Count,Action,Done,Category,Label,Arg,Actual Object,Notes
acetone__atomizer.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"clean_marker_off_a_doll-0,                         spring_clean_your_skateboard-0,",,0,0,2,GENERATE,,acetone_atomizer,ACETONE,atomizer.n.01,asztxi,change insource
acorn.n.01,Not Ready,FALSE,TRUE,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base,"fruit.n.01,",,"planting_trees-0,",,0,0,1,BUY,1,,,3dsmax oak nut (turbosquid.com),,
address.n.05,Not Ready,FALSE,TRUE,a sign in front of a house or business carrying the conventional form by which its location is described,"street_sign.n.01,",,"hanging_address_numbers-0,",,0,0,1,BUY,1,,,Low Poly Alphabet and Numbers 3D model - TurboSquid 1735615,,
allspice__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_pumpkin_pie_spice-0,",,0,0,1,NONE,,,,,,
aluminum_foil.n.01,Not Ready,FALSE,TRUE,foil made of aluminum,"foil.n.01,",,"cleaning_up_plates_and_food-0,                         cook_bacon-0,                         cook_sweet_potatoes-0,                         freeze_lasagna-0,                         roast_meat-0,                         warm_tortillas-0,",,0,0,6,BUY,1,,,Disposable Aluminium Foil Baking Pan 3D model - TurboSquid 1997506,,need post processing
ammonia_water__atomizer.n.01,Not Ready,TRUE,TRUE,,"dispenser.n.01,",,"clean_soot_from_glass_lanterns-0,",,0,0,1,GENERATE,,ammonia_water_atomizer,AMMONIA WATER,atomizer.n.01,asztxi,
ammonia_water__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"clean_jewels-0,",,0,0,1,REPLACE,,,,ammonia_water__atomizer.n.01,,change insource
baby_shoe.n.01,Not Ready,FALSE,TRUE,a shoe designed to be worn by infants,"shoe.n.01,",,"store_baby_clothes-0,",,0,0,1,BUY,1,,,3d max baby shoes (turbosquid.com),,
bag__of__mulch.n.01,Not Ready,TRUE,TRUE,,"grocery.n.02,",,"buy_mulch-0,                         buying_gardening_supplies-0,",,0,0,2,BUY,1,,,3d sack tied leather model (turbosquid.com),,
bag__of__rubbish.n.01,Not Ready,TRUE,TRUE,,"waste.n.01,",,"taking_trash_outside-0,",,0,0,1,BUY,1,,,gabrage bag 3d max (turbosquid.com),,
baking_powder__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"baking_cookies_for_the_PTA_bake_sale-0,                         baking_sugar_cookies-0,                         make_batter-0,                         make_biscuits-0,                         make_cake_mix-0,                         make_cookie_dough-0,                         make_cookies-0,                         make_muffins-0,                         make_waffles-0,",,0,0,9,GENERATE,,baking_powder_jar,BAKING POWDER,mason_jar.n.01,kijnrj,
bap.n.01,Not Ready,FALSE,TRUE,a small loaf or roll of soft bread,"bread.n.01,",,"grill_burgers-0,                         make_dinner_rolls-0,                         packing_grocery_bags_into_car-0,                         serving_food_on_the_table-0,                         toast_buns-0,",,0,0,5,REPLACE,,,,hamburger_bun.n.01,,
barbecue_sauce__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"cook_pork_ribs-0,",,0,0,1,GENERATE,,barbecue_sauce_bottle,BARBECUE SAUCE,squeeze_bottle.n.01,uzmhdn,
basil__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_a_red_meat_sauce-0,",,0,0,1,GENERATE,,basil_jar,BASIL,mason_jar.n.01,kijnrj,
beef_broth__carton.n.01,Not Ready,TRUE,TRUE,,"box.n.01,",,"make_stew-0,",,0,0,1,GENERATE,,beef_broth_carton,BEEF BROTH,jug.n.01,quzmfw,
beef_roast.n.01,Not Ready,FALSE,TRUE,cut of beef suitable for roasting,"roast.n.01,",,"canning_food-0,",,0,0,1,REPLACE,,,,steak.n.01,,change diced as well
beer_bottle.n.01,Not Ready,FALSE,TRUE,a bottle that holds beer,"bottle.n.01,",,"clean_your_house_after_a_wild_party-0,                         make_citrus_punch-0,                         packing_picnic_into_car-0,                         passing_out_drinks-0,                         pour_beer-0,                         setting_up_for_an_event-0,                         setup_a_bar_for_a_cocktail_party-0,                         store_beer-0,",,0,0,8,NONE,,,,,,
beeswax.n.01,Not Ready,FALSE,TRUE,a yellow to brown wax secreted by honeybees to build honeycombs,"animal_product.n.01,                         wax.n.01,",,"buy_candle_making_supplies-0,",,0,0,1,REPLACE,,,,paraffin_wax.n.01,,
