"Task Name","Synsets","Matched Scenes","Predicates","Required Features"
"adding_chemicals_to_hot_tub-0","chlorine.n.01,                         chlorine__bottle.n.01,                         floor.n.01,                         hot_tub.n.02,                         water.n.06,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         filled,                         contains,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"adding_chemicals_to_lawn-0","fertilizer.n.01,                         fertilizer__atomizer.n.01,                         floor.n.01,                         herbicide.n.01,                         herbicide__bottle.n.01,                         lawn.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","covered,                         ontop,                         filled,                         insource,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"adding_chemicals_to_pool-0","disinfectant.n.01,                         disinfectant__bottle.n.01,                         floor.n.01,                         pool.n.01,                         sodium_carbonate.n.01,                         sodium_carbonate__jar.n.01,                         water.n.06,","Pomaria_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    house_single_floor,","ontop,                         filled,                         contains,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"adding_fabric_softener-0","fabric_softener.n.01,                         fabric_softener__bottle.n.01,                         floor.n.01,                         sheet.n.03,                         washer.n.03,                         wrinkle.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                                                                    Merom_0_garden,                                                    Merom_0_int,                                                                                                                            Pomaria_1_int,                                                                                                                                                                            Wainscott_1_int,                                                                                                                                                                                                                                                                                                                                                                                                    house_single_floor,","contains,                         filled,                         covered,                         ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"applying_pesticides-0","floor.n.01,                         lawn.n.01,                         pesticide.n.01,                         pesticide__atomizer.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         covered,                         insource,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"assembling_furniture-0","desk_bracket.n.01,                         desk_leg.n.01,                         desk_top.n.01,                         floor.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                            Ihlen_0_int,                                                    Ihlen_1_int,                                                    Merom_0_garden,                                                    Merom_0_int,                                                    Merom_1_int,                                                                                                    Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                            house_double_floor_lower,                                                                            house_single_floor,","ontop,                         attached,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"assembling_gift_baskets-0","bow.n.08,                         butter_cookie.n.01,                         candle.n.01,                         floor.n.01,                         swiss_cheese.n.01,                         table.n.02,                         wicker_basket.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                    Ihlen_0_int,                                                                                                                                                                                                    Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"attach_a_camera_to_a_tripod-0","camera_tripod.n.01,                         digital_camera.n.01,                         floor.n.01,","Beechwood_1_int,                                                                                                    Benevolence_2_int,                                                                            Ihlen_1_int,                                                                                                    Merom_1_int,                                                    Pomaria_0_garden,                                                    Pomaria_0_int,                                                                            Pomaria_2_int,                                                    Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                    Wainscott_1_int,                                                    gates_bedroom,                                                                                                                                                                                                                                                                            hotel_suite_large,                                                    hotel_suite_small,                                                                            house_double_floor_upper,                                                    house_single_floor,","ontop,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"bag_groceries-0","apple.n.01,                         bottle__of__orange_juice.n.01,                         canned_food.n.01,                         checkout.n.03,                         egg.n.02,                         floor.n.01,                         sack.n.01,","grocery_store_asian,                                                    grocery_store_cafe,                                                    grocery_store_convenience,                                                    grocery_store_half_stocked,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"baking_cookies_for_the_PTA_bake_sale-0","baking_powder.n.01,                         baking_powder__jar.n.01,                         bowl.n.01,                         cookie_sheet.n.01,                         countertop.n.01,                         electric_mixer.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         flour.n.01,                         flour__sack.n.01,                         granulated_sugar.n.01,                         mason_jar.n.01,                         melted__butter.n.01,                         oven.n.01,                         raw_egg.n.01,                         salt.n.02,                         salt__shaker.n.01,                         sugar__sack.n.01,                         sugar_cookie.n.01,                         tablespoon.n.02,                         vanilla.n.02,                         vanilla__bottle.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                            Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                            restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","future,                         real,                         insource,                         cooked,                         filled,                         ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
