Object,ID (auto),Explanation
guacamole-ajnjvv,ajnjvv,container+substance
pea-iblyep,iblyep,
armchair-tnryza,tnryza,not a proper object
bean-cdinsu,cdinsu,nothing there
bath_towel-lyqgnf,lyqgnf,folded
bath_towel-iviyls,iviyls,folded
bath_towel-feojdm,feojdm,folded
cord-aqikou,aqikou,
cord-tzurlz,tzurlz,
cord-ydrhwh,ydrhwh,
dish_towel-emsowx,emsowx,
dish_towel-rssewm,rssewm,
dish_towel-ilguvl,ilguvl,
dish_towel-wyqhkc,wyqhkc,
hand_towel-jaubic,jaubic,folded
container_cranberry-fbcpsl,fbcpsl,
necklace-wzmleo-0,wzmleo,
pot_plant-qcpges,qcpges,we have other options and this looks very low quality and unrealistic
pot_plant-xlylfy,xlylfy,we have other options and this looks very low quality and unrealistic
rag-dgzewy,dgzewy,folded
rag-zmmbpz,zmmbpz,folded
scarf-gqzivs,gqzivs,folded
scarf-xdcrfh,xdcrfh,folded
wall_socket-eaxxbm,eaxxbm,
kebab-cewhbv,cewhbv,not a proper object
mouse-ptwame,ptwame,bad model
bush-dczbdo,dczbdo,wrong object?
bowl-gwhcty,gwhcty,has a sun glasses attached
ground_beaf-xwkdyt,xwkdyt,should be a substance
black_beans-hvxebb,hvxebb,"contain more than 1 bean, also should probably be a substance"
cappuccino-fwgbin,fwgbin,container+substance
bowl_of_salad-ghrgbr,ghrgbr,container+substance
caraway_seeds-keljtq,keljtq,container+substance
casserole_dish-wvsrxn,wvsrxn,container+substance
cat_food-tvsegu,tvsegu,container+substance
chocolate_spread-boxsqh,boxsqh,container+substance
chowder-vbabig,vbabig,container+substance
cioppino-gnybxb,gnybxb,container+substance
clip-basfxk,basfxk,not useful
cocktail-gzvkfo,gzvkfo,container+substance
coffee-sglyer,sglyer,container+substance
cup-nzdsmu,nzdsmu,bad mesh
duster-uotkdf,uotkdf,? I don't see the object
frappuccino-zjmplr,zjmplr,? I don't see the object
gazpacho-hccyfe,hccyfe,container+substance
guacamole-wqoezc,wqoezc,container+substance
hot_chocolate-erlbrd,erlbrd,container+substance
hummus-isgnps,isgnps,container+substance
ketchup-cehehi,cehehi,container+substance
latte-tgugwi,tgugwi,container+substance
pizza_dough-tizedd,tizedd,container+dough
manure-sihsvl,sihsvl,should be a substance
margarine-hsxamc,hsxamc,should be a substance
matcha-fljimz,fljimz,container+substance
mayonnaise-nmiflt,nmiflt,container+substance
meatloaf-zrrfza,zrrfza,container+dough
miso-uhjiow,uhjiow,container+substance
mojito-ugdwvr,ugdwvr,container+substance
mojito-uprgwf,uprgwf,container+substance
mustard_greens-luvkgy,luvkgy,not sure what this can be used for
nachos-mkkuoh,mkkuoh,container+object
paper_towel-aclaus,aclaus,holder + paper towel
pet_food-gnolvd,gnolvd,contain more than 1 piece of pet food (need to prune and keep only one)
plastic_wrap-twduge,twduge,not useful
cellophane-ximewe,ximewe,"should be a thin layer, not a roll of plastic wrap"
parchment_paper-wtxyff,wtxyff,wrong model
patina-fubvpu,fubvpu,wrong model
plastic_wrap-twduge,twduge,wrong model
popcorn-ntnizn,ntnizn,container+object
refried_beans-yqulrg,yqulrg,container+object
schnitzel-coigev,coigev,wrong model
tomato_puree-xtyyki,xtyyki,bad mesh
