rule_name,prune,input_synsets,input_states,container,container_input_relation,heat_source,output_synsets,output_states,container_output_relation,timesteps
sugar_cookies,0,sugar_cookie_dough.n.01_(i),not cooked sugar_cookie_dough.n.01_(i),cookie_sheet.n.01_(j),ontop sugar_cookie_dough.n.01_(i) cookie_sheet.n.01_(j),oven.n.01_(k),sugar_cookie.n.01_(l) and sugar_cookie.n.01_(m) and sugar_cookie.n.01_(n) and sugar_cookie.n.01_(o) and sugar_cookie.n.01_(p) and sugar_cookie.n.01_(q),cooked sugar_cookie.n.01_(l) and cooked sugar_cookie.n.01_(m) and cooked sugar_cookie.n.01_(n) and cooked sugar_cookie.n.01_(o) and cooked sugar_cookie.n.01_(p) and cooked sugar_cookie.n.01_(q),ontop sugar_cookie.n.01_(l) cookie_sheet.n.01_(j) and ontop sugar_cookie.n.01_(m) cookie_sheet.n.01_(j) and ontop sugar_cookie.n.01_(n) cookie_sheet.n.01_(j) and ontop sugar_cookie.n.01_(o) cookie_sheet.n.01_(j) and ontop sugar_cookie.n.01_(p) cookie_sheet.n.01_(j) and ontop sugar_cookie.n.01_(q) cookie_sheet.n.01_(j),
salt_water,0,water.n.06_(i) and salt.n.02_(j),,stockpot.n.01_(k),filled stockpot.n.01_(k) salt.n.02_(j) and filled stockpot.n.01_(k) water.n.06_(i),stove.n.01_(l),seawater.n.01_(m),,contains stockpot.n.01_(k) seawater.n.01_(m),
cheese_tarts,0,pastry.n.01_(i) and cheese_pastry_filling.n.01_(j),not cooked pastry.n.01_(i) and covered pastry.n.01_(i) cheese_pastry_filling.n.01_(j),cookie_sheet.n.01_(k),ontop pastry.n.01_(i) cookie_sheet.n.01_(k),oven.n.01_(l),cheese_tart.n.01_(l) and cheese_tart.n.01_(m) and cheese_tart.n.01_(n) and cheese_tart.n.01_(o) and cheese_tart.n.01_(p) and cheese_tart.n.01_(q),cooked cheese_tart.n.01_(l) and cooked cheese_tart.n.01_(m) and cooked cheese_tart.n.01_(n) and cooked cheese_tart.n.01_(o) and cooked cheese_tart.n.01_(p) and cooked cheese_tart.n.01_(q),ontop cheese_tart.n.01_(l) cookie_sheet.n.01_(k) and ontop cheese_tart.n.01_(m) cookie_sheet.n.01_(k) and ontop cheese_tart.n.01_(n) cookie_sheet.n.01_(k) and ontop cheese_tart.n.01_(o) cookie_sheet.n.01_(k) and ontop cheese_tart.n.01_(p) cookie_sheet.n.01_(k) and ontop cheese_tart.n.01_(q) cookie_sheet.n.01_(k),
red_meat_sauce,0,tomato_sauce.n.01_(i) and olive_oil.n.01_(j) and clove.n.03_(k) and clove.n.03_(l) and clove.n.03_(m) and basil.n.03_(n) and basil.n.03_(o) and basil.n.03_(p) and basil.n.03_(q) and ground_beef.n.01_(r) and rosemary.n.02_(s),,saucepan.n.01_(t),contains saucepan.n.01_(t) tomato_sauce.n.01_(i) and contains saucepan.n.01_(t) olive_oil.n.01_(j) and inside clove.n.03_(k) saucepan.n.01_(t) and inside clove.n.03_(l) saucepan.n.01_(t) and inside clove.n.03_(m) saucepan.n.01_(t) and inside basil.n.03_(n) saucepan.n.01_(t) and inside basil.n.03_(o) saucepan.n.01_(t) and inside basil.n.03_(p) saucepan.n.01_(t) and inside basil.n.03_(q) saucepan.n.01_(t) and contains saucepan.n.01_(t) ground_beef.n.01_(r) and contains saucepan.n.01_(t) rosemary.n.02_(s),stove.n.01_(v),cooked__red_meat_sauce.n.01_(u),,contains saucepan.n.01_(t) cooked__red_meat_sauce.n.01_(u),
schnitzel,0,cooking_oil.n.01_(i) and flour.n.01_(j) and raw_egg.n.01_(k) and salt.n.02_(l) and veal.n.01_(m) and breadcrumb.n.01_(n),not cooked raw_egg.n.01_(k) and not cooked veal.n.01_(m),frying_pan.n.01_(o),contains frying_pan.n.01_(o) cooking_oil.n.01_(i) and contains frying_pan.n.01_(o) flour.n.01_(j) and inside raw_egg.n.01_(k) frying_pan.n.01_(o) and contains frying_pan.n.01_(o) salt.n.02_(l) and inside veal.n.01_(m) frying_pan.n.01_(o) and contains frying_pan.n.01_(o) breadcrumb.n.01_(n),stove.n.01_(p),schnitzel.n.01_(q),not cooked schnitzel.n.01_(q),inside schnitzel.n.01_(q) frying_pan.n.01_(o),
applesauce,0,apple.n.01_(i) and apple.n.01_(j) and apple.n.01_(k) and water.n.06_(l) and lemon_juice.n.01_(m) and cinnamon.n.03_(n) and granulated_sugar.n.01_(o),not cooked apple.n.01_(i) and not cooked apple.n.01_(j) and not cooked apple.n.01_(k),saucepan.n.01_(p),inside apple.n.01_(i) saucepan.n.01_(p) and inside apple.n.01_(j) saucepan.n.01_(p) and inside apple.n.01_(k) saucepan.n.01_(p) and contains saucepan.n.01_(p) water.n.06_(l) and contains saucepan.n.01_(p) lemon_juice.n.01_(m) and contains saucepan.n.01_(p) cinnamon.n.03_(n) and contains saucepan.n.01_(p) granulated_sugar.n.01_(o),stove.n.01_(q),applesauce.n.01_(r),,contains saucepan.n.01_(p) applesauce.n.01_(r),
bagels,0,raw_egg.n.01_(i) and bagel_dough.n.01_(j) and sesame_seed.n.01_(k),not cooked raw_egg.n.01_(i) and not cooked bagel_dough.n.01_(j) and ontop raw_egg.n.01_(i) bagel_dough.n.01_(j) and covered bagel_dough.n.01_(j) sesame_seed.n.01_(k),cookie_sheet.n.01_(m),ontop bagel_dough.n.01_(j) cookie_sheet.n.01_(m),oven.n.01_(l),bagel.n.01_(n) and bagel.n.01_(o) and bagel.n.01_(p) and bagel.n.01_(q),cooked bagel.n.01_(n) and cooked bagel.n.01_(o) and cooked bagel.n.01_(p) and cooked bagel.n.01_(q),ontop bagel.n.01_(n) cookie_sheet.n.01_(m) and ontop bagel.n.01_(o) cookie_sheet.n.01_(m) and ontop bagel.n.01_(p) cookie_sheet.n.01_(m) and ontop bagel.n.01_(q) cookie_sheet.n.01_(m),
biscuits,0,biscuit_dough.n.01_(i),not cooked biscuit_dough.n.01_(i),cookie_sheet.n.01_(k),ontop biscuit_dough.n.01_(i) cookie_sheet.n.01_(k),oven.n.01_(j),biscuit.n.01_(l) and biscuit.n.01_(m) and biscuit.n.01_(n) and biscuit.n.01_(o),cooked biscuit.n.01_(l) and cooked biscuit.n.01_(m) and cooked biscuit.n.01_(n) and cooked biscuit.n.01_(o),ontop biscuit.n.01_(l) cookie_sheet.n.01_(k) and ontop biscuit.n.01_(m) cookie_sheet.n.01_(k) and ontop biscuit.n.01_(n) cookie_sheet.n.01_(k) and ontop biscuit.n.01_(o) cookie_sheet.n.01_(k),
blueberry_compote,0,lemon_juice.n.01_(i) and granulated_sugar.n.01_(j) and blueberry.n.02_(k),,saucepan.n.01_(v),contains saucepan.n.01_(v) lemon_juice.n.01_(i) and contains saucepan.n.01_(v) granulated_sugar.n.01_(j) and contains saucepan.n.01_(v) blueberry.n.02_(k),stove.n.01_(u),blueberry_compote.n.01_(w),,contains saucepan.n.01_(v) blueberry_compote.n.01_(w),
chicken_curry,0,diced__chicken_breast.n.01_(i) and diced__beefsteak_tomato.n.01_(j) and diced__vidalia_onion.n.01_(k) and cooking_oil.n.01_(l) and curry_powder.n.01_(m),,stockpot.n.01_(n),contains stockpot.n.01_(n) diced__chicken_breast.n.01_(i) and contains stockpot.n.01_(n) diced__beefsteak_tomato.n.01_(j) and contains stockpot.n.01_(n) diced__vidalia_onion.n.01_(k) and contains stockpot.n.01_(n) cooking_oil.n.01_(l) and contains stockpot.n.01_(n) curry_powder.n.01_(m),stove.n.01_(o),chicken_curry.n.01_(p),,contains stockpot.n.01_(n) chicken_curry.n.01_(p),
